Year,Country,Energy category,Energy sub-category,Observation status,Unit multiplier,Unit measure,GeoCode,Value
2015,,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),,0.002276654
2015,,Energy from waste  biomass,,Undefined,Units,Percentage (%),,0.030099479
2015,,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),,0.028564062
2015,,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),,0.001535418
2015,,Energy efficient products,,Undefined,Units,Percentage (%),,0.024566681
2015,,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),,0.004103271
2015,,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),,0.017816139
2015,,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),,0.002620799
2015,,Low carbon services,,Undefined,Units,Percentage (%),,0.000344145
2015,,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),,0.000344145
2015,,Low emission vehicles,,Undefined,Units,Percentage (%),,0.002991417
2015,,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),,0.002673744
2015,,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),,0.0002912
2016,,Low carbon electricity,,Undefined,Units,Percentage (%),,0.375837727
2016,,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),,0.137225439
2016,,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),,0.131278311
2016,,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),,0.078247586
2016,,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),,0.005090118
2016,,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),,0
2016,,Low carbon heat,,Undefined,Units,Percentage (%),,0.006466528
2016,,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),,0.00124656
2016,,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),,0.005219968
2016,,Energy from waste  biomass,,Undefined,Units,Percentage (%),,0.039058868
2016,,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),,0.038513498
2016,,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),,0.00054537
2016,,Energy efficient products,,Undefined,Units,Percentage (%),,0.019425554
2016,,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),,0.003661769
2016,,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),,0.011998136
2016,,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),,0.003765649
2016,,Low carbon services,,Undefined,Units,Percentage (%),,0.00132447
2016,,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),,0.00132447
2016,,Low emission vehicles,,Undefined,Units,Percentage (%),,0.006544438
2016,,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),,0.005193998
2016,,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),,0.00137641
2014,England,,,Undefined,Units,Percentage (%),E92000001,0.355849324
2014,England,Low carbon electricity,,Undefined,Units,Percentage (%),E92000001,0.259801977
2014,England,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),E92000001,0.07808419
2014,England,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),E92000001,0.019561688
2014,England,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),E92000001,0.091793628
2014,England,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),E92000001,0.000487688
2014,England,Low carbon electricity,Other renewable electricity,Undefined,Units,Percentage (%),E92000001,0.000189656
2014,England,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),E92000001,0
2014,England,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),E92000001,0.069685127
2014,England,Low carbon heat,,Undefined,Units,Percentage (%),E92000001,0.022623282
2014,England,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),E92000001,0.000975375
2014,England,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),E92000001,0.021647907
2014,England,Energy from waste  biomass,,Undefined,Units,Percentage (%),E92000001,0.044650501
2014,England,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),E92000001,0.044271189
2014,England,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),E92000001,0.000379313
2014,England,Energy efficient products,,Undefined,Units,Percentage (%),E92000001,0.021295688
2014,England,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),E92000001,0.001192125
2014,England,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),E92000001,0.017150344
2014,England,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),E92000001,0.002953219
2014,England,Low carbon services,,Undefined,Units,Percentage (%),E92000001,0.000812813
2014,England,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),E92000001,0.000812813
2014,England,Low emission vehicles,,Undefined,Units,Percentage (%),E92000001,0.006665063
2014,England,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),E92000001,0.006583781
2014,England,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),E92000001,8.12813E-05
2015,England,,,Undefined,Units,Percentage (%),E92000001,0.189094617
2015,England,Low carbon electricity,,Undefined,Units,Percentage (%),E92000001,0.139061182
2015,England,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),E92000001,0.032667333
2015,England,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),E92000001,0.0228989
2015,England,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),E92000001,0.066578883
2015,England,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),E92000001,0.000529454
2015,England,Low carbon heat,,Undefined,Units,Percentage (%),E92000001,0.002303126
2015,England,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),E92000001,0.000105891
2015,England,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),E92000001,0.002197236
2015,England,Energy from waste  biomass,,Undefined,Units,Percentage (%),E92000001,0.022687118
2015,England,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),E92000001,0.021204646
2015,England,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),E92000001,0.001482472
2015,England,Energy efficient products,,Undefined,Units,Percentage (%),E92000001,0.022263555
2015,England,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),E92000001,0.003970908
2015,England,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),E92000001,0.015910103
2015,England,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),E92000001,0.002382545
2015,England,Low carbon services,,Undefined,Units,Percentage (%),E92000001,0.000211782
2015,England,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),E92000001,0.000211782
2015,England,Low emission vehicles,,Undefined,Units,Percentage (%),E92000001,0.002567854
2016,England,,,Undefined,Units,Percentage (%),E92000001,0.318911504
2016,England,Low carbon electricity,,Undefined,Units,Percentage (%),E92000001,0.257076953
2016,England,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),E92000001,0.135797089
2016,England,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),E92000001,0.035319189
2016,England,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),E92000001,0.071287629
2016,England,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),E92000001,0
2016,England,Low carbon heat,,Undefined,Units,Percentage (%),E92000001,0.005843248
2016,England,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),E92000001,0.00072716
2016,England,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),E92000001,0.005116088
2016,England,Energy from waste  biomass,,Undefined,Units,Percentage (%),E92000001,0.03212488
2016,England,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),E92000001,0.03163145
2016,England,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),E92000001,0.0005194
2016,England,Energy efficient products,,Undefined,Units,Percentage (%),E92000001,0.016828555
2016,England,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),E92000001,0.003402069
2016,England,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),E92000001,0.010076357
2016,England,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),E92000001,0.003324159
2016,England,Low carbon services,,Undefined,Units,Percentage (%),E92000001,0.0010388
2016,England,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),E92000001,0.0010388
2016,England,Low emission vehicles,,Undefined,Units,Percentage (%),E92000001,0.005999068
2016,England,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),E92000001,0.004674599
2016,England,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),E92000001,0.00132447
2014,Scotland,,,Undefined,Units,Percentage (%),S92000003,0.064835346
2014,Scotland,Low carbon electricity,,Undefined,Units,Percentage (%),S92000003,0.054837752
2014,Scotland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),S92000003,0.000541875
2014,Scotland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),S92000003,0.042022408
2014,Scotland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),S92000003,0.000352219
2014,Scotland,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),S92000003,0.005066531
2014,Scotland,Low carbon electricity,Other renewable electricity,Undefined,Units,Percentage (%),S92000003,0.000243844
2014,Scotland,Low carbon heat,,Undefined,Units,Percentage (%),S92000003,0.000108375
2014,Scotland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),S92000003,8.12813E-05
2014,Scotland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),S92000003,5.41875E-05
2014,Scotland,Energy from waste  biomass,,Undefined,Units,Percentage (%),S92000003,0.00867
2014,Scotland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),S92000003,0.00867
2014,Scotland,Energy efficient products,,Undefined,Units,Percentage (%),S92000003,0.001110844
2014,Scotland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),S92000003,8.12813E-05
2014,Scotland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),S92000003,0.000948281
2014,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),S92000003,8.12813E-05
2014,Scotland,Low carbon services,,Undefined,Units,Percentage (%),S92000003,8.12813E-05
2014,Scotland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),S92000003,8.12813E-05
2014,Scotland,Low emission vehicles,,Undefined,Units,Percentage (%),S92000003,2.70938E-05
2015,Scotland,,,Undefined,Units,Percentage (%),S92000003,0.068643755
2015,Scotland,Low carbon electricity,,Undefined,Units,Percentage (%),S92000003,0.064328702
2015,Scotland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),S92000003,0.004950398
2015,Scotland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),S92000003,0.042938747
2015,Scotland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),S92000003,0.000317673
2015,Scotland,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),S92000003,0.006326979
2015,Scotland,Low carbon heat,,Undefined,Units,Percentage (%),S92000003,5.29454E-05
2015,Scotland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),S92000003,2.64727E-05
2015,Scotland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),S92000003,2.64727E-05
2015,Scotland,Energy from waste  biomass,,Undefined,Units,Percentage (%),S92000003,0.002911999
2015,Scotland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),S92000003,0.002911999
2015,Scotland,Energy efficient products,,Undefined,Units,Percentage (%),S92000003,0.001244218
2015,Scotland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),S92000003,2.64727E-05
2015,Scotland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),S92000003,0.001005963
2015,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),S92000003,0.000211782
2015,Scotland,Low carbon services,,Undefined,Units,Percentage (%),S92000003,7.94182E-05
2015,Scotland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),S92000003,7.94182E-05
2015,Scotland,Low emission vehicles,,Undefined,Units,Percentage (%),S92000003,2.64727E-05
2015,Scotland,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),S92000003,2.64727E-05
2016,Scotland,,,Undefined,Units,Percentage (%),S92000003,0.090505423
2016,Scotland,Low carbon electricity,,Undefined,Units,Percentage (%),S92000003,0.087544844
2016,Scotland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),S92000003,0.00142835
2016,Scotland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),S92000003,0.071832998
2016,Scotland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),S92000003,0.00010388
2016,Scotland,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),S92000003,0.004518779
2016,Scotland,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),S92000003,0
2016,Scotland,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),S92000003,0.009660837
2016,Scotland,Energy from waste  biomass,,Undefined,Units,Percentage (%),S92000003,0.00127253
2016,Scotland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),S92000003,0.00124656
2016,Scotland,Energy efficient products,,Undefined,Units,Percentage (%),S92000003,0.00163611
2016,Scotland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),S92000003,5.194E-05
2016,Scotland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),S92000003,0.00119462
2016,Scotland,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),S92000003,0.00036358
2016,Scotland,Low carbon services,,Undefined,Units,Percentage (%),S92000003,5.194E-05
2016,Scotland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),S92000003,5.194E-05
2014,Wales,,,Undefined,Units,Percentage (%),W92000004,0.015037032
2014,Wales,Low carbon electricity,,Undefined,Units,Percentage (%),W92000004,0.011433563
2014,Wales,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),W92000004,5.41875E-05
2014,Wales,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),W92000004,0.004172438
2014,Wales,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),W92000004,0.006231563
2014,Wales,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),W92000004,0.000379313
2014,Wales,Low carbon electricity,Other renewable electricity,Undefined,Units,Percentage (%),W92000004,0.000568969
2014,Wales,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),W92000004,0
2014,Wales,Low carbon heat,,Undefined,Units,Percentage (%),W92000004,0.000839906
2014,Wales,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),W92000004,0.000812813
2014,Wales,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),W92000004,2.70938E-05
2014,Wales,Energy from waste  biomass,,Undefined,Units,Percentage (%),W92000004,0.001002469
2014,Wales,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),W92000004,0.000975375
2014,Wales,Energy efficient products,,Undefined,Units,Percentage (%),W92000004,0.001490156
2014,Wales,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),W92000004,5.41875E-05
2014,Wales,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),W92000004,0.001408875
2014,Wales,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),W92000004,2.70938E-05
2014,Wales,Low emission vehicles,,Undefined,Units,Percentage (%),W92000004,0.000270938
2015,Wales,,,Undefined,Units,Percentage (%),W92000004,0.022819482
2015,Wales,Low carbon electricity,,Undefined,Units,Percentage (%),W92000004,0.017551411
2015,Wales,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),W92000004,2.64727E-05
2015,Wales,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),W92000004,0.000105891
2015,Wales,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),W92000004,0.017392575
2015,Wales,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),W92000004,0
2015,Wales,Low carbon heat,,Undefined,Units,Percentage (%),W92000004,2.64727E-05
2015,Wales,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),W92000004,2.64727E-05
2015,Wales,Energy from waste  biomass,,Undefined,Units,Percentage (%),W92000004,0.004235635
2015,Wales,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),W92000004,0.004209162
2015,Wales,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),W92000004,2.64727E-05
2015,Wales,Energy efficient products,,Undefined,Units,Percentage (%),W92000004,0.000688291
2015,Wales,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),W92000004,0.000105891
2015,Wales,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),W92000004,0.000555927
2015,Wales,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),W92000004,2.64727E-05
2015,Wales,Low emission vehicles,,Undefined,Units,Percentage (%),W92000004,0.000317673
2015,Wales,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),W92000004,0.000264727
2015,Wales,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),W92000004,7.94182E-05
2016,Wales,,,Undefined,Units,Percentage (%),W92000004,0.015062595
2016,Wales,Low carbon electricity,,Undefined,Units,Percentage (%),W92000004,0.013452456
2016,Wales,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),W92000004,0.006466528
2016,Wales,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),W92000004,0.006778168
2016,Wales,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),W92000004,0.00020776
2016,Wales,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),W92000004,0
2016,Wales,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),W92000004,0
2016,Wales,Energy from waste  biomass,,Undefined,Units,Percentage (%),W92000004,0.0007791
2016,Wales,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),W92000004,0.00075313
2016,Wales,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),W92000004,2.597E-05
2016,Wales,Energy efficient products,,Undefined,Units,Percentage (%),W92000004,0.00075313
2016,Wales,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),W92000004,7.791E-05
2016,Wales,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),W92000004,0.00062328
2016,Wales,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),W92000004,5.194E-05
2016,Wales,Low carbon services,,Undefined,Units,Percentage (%),W92000004,7.791E-05
2016,Wales,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),W92000004,7.791E-05
2014,Northern Ireland,,,Undefined,Units,Percentage (%),N92000002,0.008101032
2014,Northern Ireland,Low carbon electricity,,Undefined,Units,Percentage (%),N92000002,0.005500031
2014,Northern Ireland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),N92000002,0
2014,Northern Ireland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),N92000002,0.004876875
2014,Northern Ireland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),N92000002,0.000514781
2014,Northern Ireland,Low carbon electricity,Hydropower,Undefined,Units,Percentage (%),N92000002,5.41875E-05
2014,Northern Ireland,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),N92000002,0
2014,Northern Ireland,Low carbon heat,,Undefined,Units,Percentage (%),N92000002,0.000298031
2014,Northern Ireland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),N92000002,2.70938E-05
2014,Northern Ireland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),N92000002,0.000270938
2014,Northern Ireland,Energy from waste  biomass,,Undefined,Units,Percentage (%),N92000002,0.000677344
2014,Northern Ireland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),N92000002,0.00065025
2014,Northern Ireland,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),N92000002,2.70938E-05
2014,Northern Ireland,Energy efficient products,,Undefined,Units,Percentage (%),N92000002,0.00151725
2014,Northern Ireland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),N92000002,5.41875E-05
2014,Northern Ireland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),N92000002,0.001408875
2014,Northern Ireland,Energy efficient products,"Energy monitoring, saving or control systems",Undefined,Units,Percentage (%),N92000002,5.41875E-05
2014,Northern Ireland,Low carbon services,,Undefined,Units,Percentage (%),N92000002,2.70938E-05
2014,Northern Ireland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),N92000002,2.70938E-05
2014,Northern Ireland,Low emission vehicles,,Undefined,Units,Percentage (%),N92000002,8.12813E-05
2014,Northern Ireland,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),N92000002,8.12813E-05
2014,Northern Ireland,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),N92000002,0
2015,Northern Ireland,,,Undefined,Units,Percentage (%),N92000002,0.005718107
2015,Northern Ireland,Low carbon electricity,,Undefined,Units,Percentage (%),N92000002,0.005029816
2015,Northern Ireland,Low carbon electricity,Offshore wind,Undefined,Units,Percentage (%),N92000002,0
2015,Northern Ireland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),N92000002,0.004182689
2015,Northern Ireland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),N92000002,0.000794182
2015,Northern Ireland,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),N92000002,0
2015,Northern Ireland,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),N92000002,0
2015,Northern Ireland,Low carbon heat,,Undefined,Units,Percentage (%),N92000002,5.29454E-05
2015,Northern Ireland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),N92000002,2.64727E-05
2015,Northern Ireland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),N92000002,2.64727E-05
2015,Northern Ireland,Energy from waste  biomass,,Undefined,Units,Percentage (%),N92000002,0.000264727
2015,Northern Ireland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),N92000002,0.000264727
2015,Northern Ireland,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),N92000002,0
2015,Northern Ireland,Energy efficient products,,Undefined,Units,Percentage (%),N92000002,0.000370618
2015,Northern Ireland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),N92000002,2.64727E-05
2015,Northern Ireland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),N92000002,0.000344145
2015,Northern Ireland,Low emission vehicles,Fuels cells and energy storage,Undefined,Units,Percentage (%),N92000002,0
2016,Northern Ireland,,,Undefined,Units,Percentage (%),N92000002,0.023476873
2016,Northern Ireland,Low carbon electricity,,Undefined,Units,Percentage (%),N92000002,0.017763475
2016,Northern Ireland,Low carbon electricity,Onshore wind,Undefined,Units,Percentage (%),N92000002,0.017659595
2016,Northern Ireland,Low carbon electricity,Solar photovoltaic,Undefined,Units,Percentage (%),N92000002,7.791E-05
2016,Northern Ireland,Low carbon electricity,Carbon capture and storage,Undefined,Units,Percentage (%),N92000002,0
2016,Northern Ireland,Low carbon electricity,Nuclear,Undefined,Units,Percentage (%),N92000002,0
2016,Northern Ireland,Low carbon heat,,Undefined,Units,Percentage (%),N92000002,0.00041552
2016,Northern Ireland,Low carbon heat,Renewable heat,Undefined,Units,Percentage (%),N92000002,0.00041552
2016,Northern Ireland,Low carbon heat,Renewable combined heat and power,Undefined,Units,Percentage (%),N92000002,2.597E-05
2016,Northern Ireland,Energy from waste  biomass,,Undefined,Units,Percentage (%),N92000002,0.004882359
2016,Northern Ireland,Energy from waste  biomass,Bioenergy,Undefined,Units,Percentage (%),N92000002,0.004882359
2016,Northern Ireland,Energy from waste  biomass,Alternative fuels,Undefined,Units,Percentage (%),N92000002,0
2016,Northern Ireland,Energy efficient products,,Undefined,Units,Percentage (%),N92000002,0.00023373
2016,Northern Ireland,Energy efficient products,Energy efficient lighting,Undefined,Units,Percentage (%),N92000002,0.00010388
2016,Northern Ireland,Energy efficient products,Other energy efficient products,Undefined,Units,Percentage (%),N92000002,0.00010388
2016,Northern Ireland,Low carbon services,,Undefined,Units,Percentage (%),N92000002,0.00015582
2016,Northern Ireland,Low carbon services,Low carbon financial and advisory services,Undefined,Units,Percentage (%),N92000002,0.00015582
2016,Northern Ireland,Low emission vehicles,,Undefined,Units,Percentage (%),N92000002,2.597E-05
2016,Northern Ireland,Low emission vehicles,Low emission vehicles and infrastructure,Undefined,Units,Percentage (%),N92000002,2.597E-05
